Resultados
 n|T1(n)| NOp1|T2(n)| NOp2|T3(n)| NOp3
 0|    0|    1|    0|    1|    0|    1
 1|    1|    2|    1|    1|    1|    1
 2|    2|    2|    2|    1|    2|    1
 3|    3|    2|    3|    1|    3|    1
 4|    5|    3|    6|    3|    6|    2
 5|    6|    3|    8|    3|    8|    3
 6|    7|    3|    9|    3|    9|    3
 7|    8|    3|   10|    3|   10|    3
 8|   10|    3|   12|    3|   12|    2
 9|   11|    3|   14|    3|   14|    3
10|   12|    3|   15|    3|   15|    3
11|   13|    3|   16|    3|   16|    3
12|   15|    3|   18|    3|   18|    2
13|   16|    3|   22|    5|   22|    4
14|   17|    3|   23|    5|   23|    4
15|   18|    3|   24|    5|   24|    4
16|   21|    4|   28|    7|   28|    3
17|   22|    4|   31|    7|   31|    6
18|   23|    4|   32|    7|   32|    6
19|   24|    4|   33|    7|   33|    6
20|   26|    4|   36|    7|   36|    4
21|   27|    4|   38|    7|   38|    7
22|   28|    4|   39|    7|   39|    7
23|   29|    4|   40|    7|   40|    7
24|   31|    4|   42|    7|   42|    4
25|   32|    4|   44|    7|   44|    7
26|   33|    4|   45|    7|   45|    7
27|   34|    4|   46|    7|   46|    7
28|   36|    4|   48|    7|   48|    4
